acuminaldo|8183|1
acuminatus|8184|1
acuosa|8185|6
acuosoamarillenta|8191|1
adaxial|8192|1
adaxiales|8193|1
adaxialmente|8194|1
adelia|8195|1
adheridas|8196|5
adnadas|8201|1
adnatos|8202|6
adpresa|8208|2
adpreso|8210|60
adpresopuberulentas|8270|3
adpresopubescente|8273|3
adpresopubescentes|8276|2
adpresos|8278|8
adultas|8286|1
adultos|8287|4
adyacentes|8291|1
affinis|8292|1
afiladas|8293|2
aggregatum|8295|2
aglomeraciones|8297|3
aglomerados|8300|1
agradable|8301|2
agrandadas|8303|1
agregadas|8304|1
agregados|8305|1
agrupadas|8306|23
agrupados|8329|6
aguda|8335|128
agudamente|8463|3
agudas|8466|25
agudo|8491|121
agudoacuminado|8612|1
agudos|8613|2
aguijones|8615|1
aguilarii|8616|1
ahusado|8617|1
aiouea|8618|11
ala|8629|6
aladas|8635|5
alado|8640|8
alados|8648|2
alargada|8650|2
alargadas|8652|2
alargado|8654|4
alargados|8658|5
alargan|8663|2
alas|8665|14
albergando|8679|2
albida|8681|2
albiflora|8683|1
albiramea|8684|1
alchornea|8685|5
alchorneoides|8690|1
alchorneopsis|8691|1
alfaroa|8692|4
allenii|8696|3
alloiophylla|8699|2
alternan|8701|4
alternando|8705|1
alternantes|8706|1
alternas|8707|438
alternos|9145|3
altura|9148|237
amanoa|9385|1
amarilla|9386|14
amarillas|9400|36
amarillenta|9436|29
amarillentas|9465|87
amarillento|9552|72
amarillentopilosas|9624|1
amarillentos|9625|3
amarillo|9628|35
amarilloanaranjado|9663|1
amarillopilosas|9664|1
amarillos|9665|16
amazonia|9681|1
amazonica|9682|1
amazonum|9683|1
ambas|9684|80
amentos|9764|15
americana|9779|5
americanus|9784|1
amethystina|9785|2
ampla|9787|2
amplexicaule|9789|1
amplia|9790|6
ampliamente|9796|53
amplias|9849|3
amplio|9852|21
amplioelipticas|9873|2
amplioovadas|9875|2
anaranjada|9877|12
anaranjadas|9889|27
anaranjado|9916|42
anaranjados|9958|5
anastomosados|9963|2
anchamente|9965|1
ancho|9966|45
anchoelipticas|10011|2
anchooblongas|10013|1
anchoobovadas|10014|1
anchoovadas|10015|1
anchos|10016|3
ancistrosas|10019|1
androceo|10020|7
androdioicas|10027|1
androdioicos|10028|1
androgina|10029|1
andromonoico|10030|2
andromonoicos|10032|2
anfibia|10034|2
anfibias|10036|4
angosta|10040|4
angostamente|10044|52
angostas|10096|5
angosto|10101|14
angostoelipticas|10115|2
angostolanceoladas|10117|1
angostoobovada|10118|1
angostos|10119|1
anguladas|10120|43
angulados|10163|2
angulares|10165|7
angulos|10172|2
angulosas|10174|1
angustifolium|10175|1
aniba|10176|4
anillo|10180|15
anillos|10195|3
antera|10198|2
anteras|10200|53
antesis|10253|4
antipetalos|10257|1
anual|10258|4
anuales|10262|5
anular|10267|4
anulares|10271|2
aparentemente|10273|5
apariencia|10278|3
aparisthmium|10281|1
apendice|10282|2
apendices|10284|5
apical|10289|19
apicales|10308|9
apice|10317|599
apiculada|10916|3
apiculadas|10919|11
apiculado|10930|6
apiculados|10936|1
aplanada|10937|3
aplanadas|10940|13
aplanado|10953|3
aplanados|10956|10
aproximadas|10966|1
aquaticum|10967|2
aracnoide|10969|2
aracnoidea|10971|1
arbol|10972|611
arboles|11583|28
arbolito|11611|5
arborea|11616|3
arbustivas|11619|1
arbusto|11620|252
arbustos|11872|25
arbutoides|11897|1
arco|11898|1
arenosa|11899|7
arguta|11906|1
ariladas|11907|3
arilo|11910|63
aristado|11973|1
armada|11974|1
armadas|11975|1
armados|11976|1
aroma|11977|2
aromatica|11979|1
aromaticas|11980|8
aromatico|11988|1
aromaticos|11989|1
arqueadas|11990|1
